composition_key,n_elements,sources,canonical_phase,has_conflict,borg_label,pei_label,peivaste_label,borg_raw_label,pei_raw_label,peivaste_raw_label,borg_processing,borg_doi,source_row_ids
Ag0.0166Al0.1400Co0.0500Cu0.0833La0.6601Ni0.0500,6,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2718
Ag0.0177Al0.1487Co0.0531Cu0.0265La0.7009Ni0.0531,6,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2817
Ag0.0180Al0.1401Co0.0500Cu0.0916La0.6503Ni0.0500,6,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2722
Ag0.0183Al0.1400Co0.0500Cu0.0917La0.6500Ni0.0500,6,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2816
Ag0.0200Al0.1400Co0.0500Cu0.1000La0.6400Ni0.0500,6,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2724
Ag0.0230Al0.1401Co0.0501Cu0.1161La0.6206Ni0.0501,6,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2729
Ag0.0233Al0.1400Co0.0500Cu0.1167La0.6200Ni0.0500,6,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2814
Ag0.0333Al0.1400Co0.0200Cu0.1667La0.6200Ni0.0200,6,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2812
Ag0.0333Al0.1401Co0.0200Cu0.1661La0.6204Ni0.0200,6,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2725
Ag0.0400Al0.1400Cu0.2000La0.6200,4,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2721
Ag0.0500Au0.4600Cu0.2900Si0.2000,4,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:3923
Ag0.0500Cu0.0750Mg0.6500Ni0.0750Y0.1000Zn0.0500,6,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2762
Ag0.0500Cu0.1500Gd0.1000Mg0.6500Pd0.0500,5,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2761
Ag0.0500Cu0.1500Mg0.6500Pd0.0500Y0.1000,5,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2760
