LotID,Latitude,Longitude,DBH,Age,CCRS,Borer Holes,WP Holes,Gallery,Epic Shoots,Basal Shoots,Bark Split,CCC,Crown Ratio,Seedling #,Sapling #
CPW40,40.797632,-98.454167,29.3,40,2,0,0,n,y,n,n,C,0.87,2,0
CPW41,40.797592,-98.45421,31.85,44,3,0,0,n,n,n,n,I,0.5,1,0
CPW42,40.797614,-98.454124,39.49,54,1,0,0,n,n,n,n,D,0.66,1,0
CPW43,40.797429,-98.454283,39.81,55,4,45,15,n,n,y,n,C,0.11,0,0
CPW44,40.797417,-98.45429,53.18,73,3,0,0,n,n,n,n,D,0.4,0,0
CPW45,40.797392,-98.454249,36.62,50,2,0,0,n,n,n,n,C,0.37,0,0
CPW46,40.79689,-98.454148,44.59,61,1,0,0,n,n,n,n,D,0.69,1,0
CPW47,40.797047,-98.454989,44.59,61,1,0,15,n,y,n,n,D,0.63,0,0
CPW48,40.797065,-98.454956,44.59,61,3,0,0,n,y,y,y,C,0.5,1,0
CPW49,40.797115,-98.454969,58.92,81,2,1,0,y,n,n,n,D,0.64,0,0
SEMW50,40.79529,-98.398542,32.48,45,3,0,0,n,y,y,n,C,0.53,0,1
SEMW51,40.795386,-98.398652,13.69,19,1,0,0,n,n,n,n,I,0.58,0,0
SEMW52,40.795381,-98.398678,5.73,8,3,0,0,n,n,n,y,S,0.6,0,0
SEMW53,40.795288,-98.398857,42.68,59,1,0,0,n,y,n,n,D,0.63,0,0
SEMW54,40.795248,-98.398943,25.16,35,2,0,0,n,y,n,n,C,0.78,4,0
SEMW55,40.795146,-98.39904,36.62,50,1,0,0,n,y,n,n,D,0.87,0,0
SEMW56,40.795061,-98.399441,22.29,31,1,0,0,n,n,n,n,C,0.85,0,0
SEMW57,40.795025,-98.399652,38.22,53,2,0,0,n,n,n,n,C,0.75,0,0
SEMW58,40.794966,-98.399728,35.03,48,3,0,0,n,y,n,n,C,0.83,0,0
SEMW59,40.794948,-98.399939,38.85,54,1,0,0,n,y,n,n,C,0.89,0,0
BSW60,40.801634,-98.438426,30.25,42,1,0,0,n,n,n,n,C,0.82,0,0
BSW61,40.801373,-98.438238,27.71,38,1,0,0,n,n,n,n,D,0.53,0,0
BSW62,40.801272,-98.438238,46.5,64,3,0,0,n,n,n,n,C,0.43,0,0
BSW63,40.801256,-98.43826,27.07,37,4,0,0,n,y,y,n,I,0.75,0,0
BSW64,40.801227,-98.438269,60.51,83,3,0,0,n,n,n,y,D,0.61,0,0
BSW65,40.801162,-98.438275,62.1,86,2,0,0,n,n,n,n,D,0.74,0,0
BSW66,40.801131,-98.438355,63.69,88,2,0,0,n,n,n,n,D,0.63,0,0
BSW67,40.801085,-98.438342,38.22,53,2,0,0,n,n,n,n,C,0.63,0,0
BSW68,40.801047,-98.438321,41.4,57,3,0,0,n,n,n,n,C,0.44,0,0
BSW69,40.800729,-98.438424,23.89,33,2,0,0,y,n,n,n,I,0.58,0,0
